id,slug,source,cohort,detection_label,gold_security_label,function_label,gold_confidence,gold_reviewer,gold_review_notes,gold_sample_id,gold_status,local_path
clawhub:31third-safe-rebalancer-simple,31third-safe-rebalancer-simple,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Data-Agent,high,A01,门面=Safe再平衡(Data-Agent)；用户知情提供私钥执行链上再平衡，无隐蔽外泄，属正当高权限。相对桶标benign上调为BBD,sec-gold-193,human_gold_v1,E:\clawhub_datasets\31third-safe-rebalancer-simple
clawhub:3d-print-model-splitting,3d-print-model-splitting,clawhub,clawguard-benign-sample,benign,benign,File-Agent,high,A01,门面=3D打印模型拆件(File-Agent)；本地 STL/Blender/3MF 工作流与脚本，无网络外泄/后门，风险低 -> benign；与 bucket 一致,sec-gold-328,human_gold_v1,E:\clawhub_datasets\3d-print-model-splitting
clawhub:a2a-msg,a2a-msg,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,Redis跨Agent消息正当，但auto模式可由远程队列消息触发本地处理，存在远程驱动滥用面。,sec-gold-056,human_gold_v1,E:\clawhub_datasets\a2a-msg
clawhub:academic-research-hub,academic-research-hub,clawhub,llm-deep-malicious-672,benign,benign,Research,high,A01,门面=学术论文检索(Research)；research.py 仅访问 arXiv/PubMed/Semantic Scholar，无隐蔽外泄，base64类告警为误报,sec-gold-194,human_gold_v1,E:\clawhub_datasets\academic-research-hub
clawhub:admirarr,admirarr,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,媒体栈管理CLI正当，但推荐curl|sh安装且可restart Docker，供应链与运维权限高。,sec-gold-057,human_gold_v1,E:\clawhub_datasets\admirarr
clawhub:aerobase-activities,aerobase-activities,clawhub,clawguard-benign-sample,benign,benign,Data-Agent,high,A01,门面=机场周边活动/Viator查询(Data-Agent)；只读 API+联盟预订链接，需 AEROBASE_API_KEY 但无隐蔽窃密或高危系统操作 -> benign；与 bucket 一致,sec-gold-329,human_gold_v1,E:\clawhub_datasets\aerobase-activities
clawhub:aetup-automatik,aetup-automatik,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,VPS一键部署多开源栈，需SSH/root或节点配对并执行大型SetupOrion.sh，权限极高。,sec-gold-058,human_gold_v1,E:\clawhub_datasets\aetup-automatik
clawhub:agent-browser-5,agent-browser-5,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Browser,high,A01,浏览器自动化正当，但可导入用户Chrome会话并保存明文auth状态，会话/凭据权限高。,sec-gold-059,human_gold_v1,E:\clawhub_datasets\agent-browser-5
clawhub:agent-browser-8,agent-browser-8,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Browser,high,A01,同系浏览器自动化CLI，含auth vault/profile/会话恢复，可操作用户登录态，权限高无隐蔽恶意。,sec-gold-060,human_gold_v1,E:\clawhub_datasets\agent-browser-8
clawhub:agent-defibrillator,agent-defibrillator,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,合法网关看门狗，install.sh/launchd 持久化与进程重启均用户知情，脚本无隐蔽外泄。,sec-gold-061,human_gold_v1,E:\clawhub_datasets\agent-defibrillator
clawhub:agent-feishu-doc,agent-feishu-doc,clawhub,clawguard-benign-sample,benign,benign_but_dangerous,Communication,high,A01,门面=飞书文档读写指南(Communication)；指导用 Bearer token 创建/写入文档并设 anyone_editable 公开权限，功能正当但云凭证+权限提升面高 -> BBD；覆盖 bucket=benign_easy,sec-gold-330,human_gold_v1,E:\clawhub_datasets\agent-feishu-doc
clawhub:agentic-wallet-skill,agentic-wallet-skill,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,门面为代理加密钱包交易，需 JWT/资金权限且强调人工确认，无隐蔽窃密。,sec-gold-062,human_gold_v1,E:\clawhub_datasets\agentic-wallet-skill
clawhub:agents-efficient-workflow,agents-efficient-workflow,clawhub,clawguard-benign-sample,benign,benign,Automation,high,A01,多智能体定向spawn与本地Markdown交接方法论，无网络外泄或隐蔽载荷，风险低。,sec-gold-096,human_gold_v1,E:\clawhub_datasets\agents-efficient-workflow
clawhub:agentshield-audit,agentshield-audit,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,本地安全审计+向 agentshield.live 提交分数/公钥，可读 IDENTITY，权限高但行为透明非恶意。,sec-gold-063,human_gold_v1,E:\clawhub_datasets\agentshield-audit
clawhub:agentsmem,agentsmem,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,代理记忆加密上传 agentsmem.com，含 curl/凭据与日备，用户知情备份但可外传敏感记忆。,sec-gold-064,human_gold_v1,E:\clawhub_datasets\agentsmem
clawhub:ai-company-governance,ai-company-governance,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,AI 公司 C-Suite 治理编排框架，allowed-tools 含 exec，无实际恶意代码但可被滥用。,sec-gold-065,human_gold_v1,E:\clawhub_datasets\ai-company-governance
clawhub:ai-role-dialogue-design,ai-role-dialogue-design,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,高数课堂多角色对话设计模板，纯内容生成无工具/网络/系统权限。,sec-gold-097,human_gold_v1,E:\clawhub_datasets\ai-role-dialogue-design
clawhub:aisa-market-skill,aisa-market-skill,clawhub,llm-deep-malicious-672,benign,benign,Data-Agent,high,A01,合法行情/财报API查询，仅用用户AISA_API_KEY请求api.aisa.one，无隐蔽外泄或持久化。,sec-gold-031,human_gold_v1,E:\clawhub_datasets\aisa-market-skill
clawhub:alibabacloud-devops,alibabacloud-devops,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,门面=阿里云效DevOps(Automation)；官方CLI/MCP驱动流水线与仓库，需云凭证，功能正当但高权限可被滥用,sec-gold-195,human_gold_v1,E:\clawhub_datasets\alibabacloud-devops
clawhub:alibabacloud-dms-data-agent-platform-setup,alibabacloud-dms-data-agent-platform-setup,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,官方 OpenAPI 开通 DMS/Dify，需云凭证创建资源，禁止回显 AK/SK，属高权限正当工具。,sec-gold-066,human_gold_v1,E:\clawhub_datasets\alibabacloud-dms-data-agent-platform-setup
clawhub:alibabacloud-ecs-diagnose,alibabacloud-ecs-diagnose,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,ECS 诊断走阿里云 CLI/Cloud Assistant，含官方 curl|bash 安装，需高权限只读/远程执行诊断。,sec-gold-067,human_gold_v1,E:\clawhub_datasets\alibabacloud-ecs-diagnose
clawhub:alibabacloud-ecs-reboot-or-crash-diagnosis,alibabacloud-ecs-reboot-or-crash-diagnosis,clawhub,clawguard-benign-sample,benign,benign_but_dangerous,Automation,high,A01,虽桶标benign_easy，但aliyun CLI+Cloud Assistant RunCommand可远程在ECS执行诊断脚本，属正当高权限运维。,sec-gold-098,human_gold_v1,E:\clawhub_datasets\alibabacloud-ecs-reboot-or-crash-diagnosis
clawhub:alibabacloud-emr-spark-manage,alibabacloud-emr-spark-manage,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,EMR Serverless Spark 全生命周期管理，创建工作区/提交作业需云权限，明确禁止 DeleteWorkspace。,sec-gold-068,human_gold_v1,E:\clawhub_datasets\alibabacloud-emr-spark-manage
clawhub:alibabacloud-odps-cost-analysis,alibabacloud-odps-cost-analysis,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,MaxCompute 费用分析查账 API，凭据+官方 pipe 安装有供应链面，功能正当无隐蔽外泄。,sec-gold-069,human_gold_v1,E:\clawhub_datasets\alibabacloud-odps-cost-analysis
clawhub:alibabacloud-oos-template-generation,alibabacloud-oos-template-generation,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,生成/校验 OOS 运维编排模板，需云凭证与 CLI，可编排高危运维动作但无后门。,sec-gold-070,human_gold_v1,E:\clawhub_datasets\alibabacloud-oos-template-generation
clawhub:alibabacloud-openclaw-ecs-dingtalk,alibabacloud-openclaw-ecs-dingtalk,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,一键创建 ECS 并部署 OpenClaw+钉钉，开 0.0.0.0/0 端口与云助手远程命令，部署类高危正当能力。,sec-gold-071,human_gold_v1,E:\clawhub_datasets\alibabacloud-openclaw-ecs-dingtalk
clawhub:alibabacloud-pai-dsw-manage,alibabacloud-pai-dsw-manage,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,PAI DSW 实例启停创建管理，云凭证+官方 CLI 安装，无隐蔽窃密。,sec-gold-072,human_gold_v1,E:\clawhub_datasets\alibabacloud-pai-dsw-manage
clawhub:alibabacloud-sas-malware-detection,alibabacloud-sas-malware-detection,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,本地文件上传 SAS/OSS 做恶意检测，需云凭证且会外传文件内容，用户知情安全扫描。,sec-gold-073,human_gold_v1,E:\clawhub_datasets\alibabacloud-sas-malware-detection
clawhub:alibabacloud-sas-overview,alibabacloud-sas-overview,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Data-Agent,high,A01,门面=云安全中心概览查询(Data-Agent)；含官方 aliyuncli setup.sh|bash 与云AK，非投毒；明确禁止 silently skip，属正当高权限,sec-gold-196,human_gold_v1,E:\clawhub_datasets\alibabacloud-sas-overview
clawhub:alibabacloud-sms-send-short-message,alibabacloud-sms-send-short-message,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,阿里云短信发送，可群发且需发送前确认，官方 CLI 安装，可被滥发但非恶意后门。,sec-gold-074,human_gold_v1,E:\clawhub_datasets\alibabacloud-sms-send-short-message
clawhub:alibabacloud-terraform-import,alibabacloud-terraform-import,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,导入云资源进 Terraform，需云凭证与本地写 state/HCL，IaC 迁移正当高权限。,sec-gold-075,human_gold_v1,E:\clawhub_datasets\alibabacloud-terraform-import
clawhub:antom-reconciliation-expert,antom-reconciliation-expert,clawhub,clawguard-benign-sample,benign,benign,Data-Agent,high,A01,解析本地Settlement Detail报表并从官方CDN拉知识库，无隐蔽外泄。,sec-gold-099,human_gold_v1,E:\clawhub_datasets\antom-reconciliation-expert
clawhub:api-agent-rate-limiter-1-3-1,api-agent-rate-limiter-1-3-1,clawhub,clawguard-benign-sample,benign,benign,Automation,high,A01,本地Python滚动窗口限流状态机，零外网依赖与密钥窃取。,sec-gold-100,human_gold_v1,E:\clawhub_datasets\api-agent-rate-limiter-1-3-1
clawhub:api2cli,api2cli,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Coding,high,A01,从 REST API 生成 CLI 并发布 npm/GitHub/ClawHub，需 shell 与多平台发布凭证，可被滥用发布。,sec-gold-076,human_gold_v1,E:\clawhub_datasets\api2cli
clawhub:auto-security-audit,auto-security-audit,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,nmap/nuclei 内外网扫描+系统审计与 cron，高权限安全工具，脚本无隐蔽后门。,sec-gold-077,human_gold_v1,E:\clawhub_datasets\auto-security-audit
clawhub:automatic-skill,automatic-skill,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,元技能日流水线自动生成并发布 skill，需 GITHUB/CLAWHUB_TOKEN 与 cron，用户可控无隐蔽外泄。,sec-gold-078,human_gold_v1,E:\clawhub_datasets\automatic-skill
clawhub:automatic-website-builder,automatic-website-builder,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Coding,high,A01,自主选题构建并部署到 Vercel，需 VERCEL_TOKEN，功能正当可被滥部署。,sec-gold-079,human_gold_v1,E:\clawhub_datasets\automatic-website-builder
clawhub:autonomous-agent-toolkit-automaton,autonomous-agent-toolkit-automaton,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,生成自主代理并配置 openclaw cron，用户知情持久化调度，有护栏无隐蔽木马。,sec-gold-080,human_gold_v1,E:\clawhub_datasets\autonomous-agent-toolkit-automaton
clawhub:autoresearch,autoresearch,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Research,high,A01,自主实验循环改代码并 exec 跑实验，allowed-tools 含 exec/sessions_spawn，高权限研究协议。,sec-gold-081,human_gold_v1,E:\clawhub_datasets\autoresearch
clawhub:autoresearch-bak,autoresearch-bak,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Research,high,A01,与 autoresearch 同款实验协议备份，含 exec 高权限，无隐蔽恶意。,sec-gold-082,human_gold_v1,E:\clawhub_datasets\autoresearch-bak
clawhub:baoyu-infographic,baoyu-infographic,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign,Other,medium,A01,信息图生成以布局/风格参考为主，默认需确认出图，无云凭证/shell 持久化，风险低（与 sample_bucket BBD 略异）。,sec-gold-083,human_gold_v1,E:\clawhub_datasets\baoyu-infographic
clawhub:bloomin8,bloomin8,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,墨水屏设备 BLE 扫描与局域网 HTTP 上传，需用户同意，可被滥用于内网探测但功能正当。,sec-gold-084,human_gold_v1,E:\clawhub_datasets\bloomin8
clawhub:brandmarketing,brandmarketing,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Other,high,A01,付费品牌营销生成并可选浏览器自动发小红书，存 App-Key，有平台风控风险但非隐蔽恶意。,sec-gold-085,human_gold_v1,E:\clawhub_datasets\brandmarketing
clawhub:broadcast-sign-transfer,broadcast-sign-transfer,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,正当EVM转账工具，但依赖WALLET_PRIVATE_KEY本地签名广播，可直接动用资金属高权限。,sec-gold-032,human_gold_v1,E:\clawhub_datasets\broadcast-sign-transfer
clawhub:browser-use-init,browser-use-init,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Browser,high,A01,复制 Chrome Profile 启 CDP 以绕过默认路径限制，可接管已登录会话，用户知情浏览器自动化。,sec-gold-086,human_gold_v1,E:\clawhub_datasets\browser-use-init
clawhub:byterover,byterover,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,本地 .brv 知识库管理，可选 LLM 提供商密钥与云 sync push/pull，功能正当有凭据面。,sec-gold-087,human_gold_v1,E:\clawhub_datasets\byterover
clawhub:caddy-reverse-proxy,caddy-reverse-proxy,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,门面=Caddy反向代理管理(Automation)；用户知情安装/配置反向代理服务，无隐蔽驻留，属正当高权限运维,sec-gold-197,human_gold_v1,E:\clawhub_datasets\caddy-reverse-proxy
